unix,date,symbol,open,high,low,close,Volume CRO,Volume USD
1649131200,4/5/2022 4:00,CRO/USD,0.53,0.6276,0.5095,0.5095,1803.82638,919.0495406
1649120400,4/5/2022 1:00,CRO/USD,0.532,0.533,0.532,0.533,187.161682,99.75717651
1649113200,4/4/2022 23:00,CRO/USD,0.507,0.507,0.507,0.507,105,53.235
1649109600,4/4/2022 22:00,CRO/USD,0.515,0.532,0.515,0.532,1048.092417,557.5851658
1649095200,4/4/2022 18:00,CRO/USD,0.481,0.481,0.48,0.48,1525.123738,732.0593942
1649059200,4/4/2022 8:00,CRO/USD,0.4804,0.4804,0.4804,0.4804,121.320754,58.28249022
1649044800,4/4/2022 4:00,CRO/USD,0.4901,0.4901,0.48,0.48,358.841956,172.2441389
1649041200,4/4/2022 3:00,CRO/USD,0.5398,0.5398,0.4901,0.4901,69.315133,33.97134668
1649037600,4/4/2022 2:00,CRO/USD,0.4901,0.4901,0.4901,0.4901,58.154158,28.50135284
1649034000,4/4/2022 1:00,CRO/USD,0.4901,0.54,0.49,0.54,830.60276,448.5254904
1649030400,4/4/2022 0:00,CRO/USD,0.49,0.5399,0.48,0.5399,1062.085164,573.41978
1649026800,4/3/2022 23:00,CRO/USD,0.4903,0.4903,0.4902,0.4902,200,98.04
1649023200,4/3/2022 22:00,CRO/USD,0.53,0.531,0.53,0.531,1047.275591,556.1033388
1649019600,4/3/2022 21:00,CRO/USD,0.4901,0.4901,0.4901,0.4901,20.475674,10.03512783
1649005200,4/3/2022 17:00,CRO/USD,0.5283,0.5283,0.5283,0.5283,94.397122,49.86999955
1648947600,4/3/2022 1:00,CRO/USD,0.49,0.49,0.49,0.49,155.051158,75.97506742
1648936800,4/2/2022 22:00,CRO/USD,0.4916,0.5299,0.49,0.5299,1176.393658,623.3709994
1648933200,4/2/2022 21:00,CRO/USD,0.532,0.532,0.532,0.532,147.668678,78.5597367
1648922400,4/2/2022 18:00,CRO/USD,0.5319,0.532,0.4911,0.4911,173.623504,85.26650281
1648904400,4/2/2022 13:00,CRO/USD,0.532,0.532,0.532,0.532,19.304511,10.26999985
1648900800,4/2/2022 12:00,CRO/USD,0.5299,0.54,0.5295,0.54,664.290544,358.7168938
1648897200,4/2/2022 11:00,CRO/USD,0.4915,0.4915,0.4914,0.4914,174.312955,85.65738609
1648893600,4/2/2022 10:00,CRO/USD,0.4915,0.4915,0.4915,0.4915,94.094339,46.24736762
1648890000,4/2/2022 9:00,CRO/USD,0.4915,0.53,0.4915,0.53,125.782339,66.66463967
1648875600,4/2/2022 5:00,CRO/USD,0.53,0.54,0.52,0.54,999.564625,539.7648975
1648861200,4/2/2022 1:00,CRO/USD,0.53,0.53,0.53,0.53,121.320754,64.29999962
1648857600,4/2/2022 0:00,CRO/USD,0.5299,0.53,0.5299,0.53,170.357636,90.28954708
1648850400,4/1/2022 22:00,CRO/USD,0.4901,0.5299,0.4901,0.5299,394.406804,208.9961654
1648846800,4/1/2022 21:00,CRO/USD,0.53,0.53,0.53,0.53,94.094339,49.86999967
1648843200,4/1/2022 20:00,CRO/USD,0.53,0.53,0.53,0.53,37.641509,19.94999977
1648836000,4/1/2022 18:00,CRO/USD,0.5341,0.5341,0.4889,0.495,335.642425,166.1430004
1648832400,4/1/2022 17:00,CRO/USD,0.509,0.54,0.509,0.54,529.222978,285.7804081
1648821600,4/1/2022 14:00,CRO/USD,0.4958,0.497,0.4958,0.497,708.637168,352.1926725
1648818000,4/1/2022 13:00,CRO/USD,0.4957,0.4958,0.4957,0.4958,201.217829,99.76379962
1648814400,4/1/2022 12:00,CRO/USD,0.4963,0.4963,0.4963,0.4963,87.954617,43.65187642
1648796400,4/1/2022 7:00,CRO/USD,0.4979,0.4979,0.4979,0.4979,35.308294,17.57999958
1648785600,4/1/2022 4:00,CRO/USD,0.458,0.46,0.458,0.46,836.27766,384.6877236
1648778400,4/1/2022 2:00,CRO/USD,0.459,0.459,0.459,0.459,28.489849,13.07684069
1648774800,4/1/2022 1:00,CRO/USD,0.4698,0.4698,0.4698,0.4698,90,42.282
1648771200,4/1/2022 0:00,CRO/USD,0.4698,0.4698,0.4698,0.4698,336.736724,158.1989129
1648767600,3/31/2022 23:00,CRO/USD,0.464,0.464,0.464,0.464,19.56088,9.07624832
1648753200,3/31/2022 19:00,CRO/USD,0.4875,0.4875,0.4875,0.4875,209.107692,101.9399998
1648749600,3/31/2022 18:00,CRO/USD,0.472,0.52,0.459,0.4592,1544.364972,709.1723951
1648746000,3/31/2022 17:00,CRO/USD,0.472,0.472,0.472,0.472,203.526803,96.06465102
1648742400,3/31/2022 16:00,CRO/USD,0.48,0.48,0.476,0.476,2007.327731,955.488
1648735200,3/31/2022 14:00,CRO/USD,0.49,0.519,0.48,0.48,2305.417665,1106.600479
1648731600,3/31/2022 13:00,CRO/USD,0.5195,0.5195,0.5195,0.5195,40,20.78
1648728000,3/31/2022 12:00,CRO/USD,0.5199,0.5199,0.5199,0.5199,25,12.9975
1648724400,3/31/2022 11:00,CRO/USD,0.4975,0.4975,0.4862,0.4862,114.807081,55.81920278
1648720800,3/31/2022 10:00,CRO/USD,0.5,0.5,0.5,0.5,52.229426,26.114713
1648713600,3/31/2022 8:00,CRO/USD,0.5349,0.5349,0.5349,0.5349,206.001121,110.1899996
1648706400,3/31/2022 6:00,CRO/USD,0.502,0.503,0.502,0.503,705.016684,354.6233921
1648702800,3/31/2022 5:00,CRO/USD,0.5655,0.5655,0.5,0.5654,260.546723,147.3131172
1648695600,3/31/2022 3:00,CRO/USD,0.5655,0.5655,0.5655,0.5655,68.336025,38.64402214
1648692000,3/31/2022 2:00,CRO/USD,0.5,0.6495,0.5,0.6495,4171.918876,2709.66131
1648688400,3/31/2022 1:00,CRO/USD,0.4852,0.5099,0.485,0.5099,914.499842,466.3034694
