unix,date,symbol,open,high,low,close,Volume BTT,Volume USD
1638403200,12/2/2021 0:00,BTT/USD,0.0031369,0.0031369,0.0031137,0.003131,236298.4625,739.8504861
1638399600,12/1/2021 23:00,BTT/USD,0.0031297,0.003138,0.0031297,0.003138,40000,125.52
1638396000,12/1/2021 22:00,BTT/USD,0.0031099,0.0031427,0.0031099,0.0031289,301294.3177,942.7197907
1638392400,12/1/2021 21:00,BTT/USD,0.0031334,0.0031356,0.003098,0.0031086,406611.1652,1263.991468
1638388800,12/1/2021 20:00,BTT/USD,0.0031829,0.0031829,0.0031287,0.003137,400765.654,1257.201856
1638385200,12/1/2021 19:00,BTT/USD,0.0031902,0.0032008,0.003164,0.003184,1305447.594,4156.54514
1638381600,12/1/2021 18:00,BTT/USD,0.0032048,0.0032048,0.0031939,0.0031939,2626616.223,8389.149556
1638378000,12/1/2021 17:00,BTT/USD,0.0032157,0.0032242,0.0032085,0.0032085,112487.2767,360.9154273
1638374400,12/1/2021 16:00,BTT/USD,0.0032155,0.003235,0.0032116,0.0032116,296599.9549,952.5604153
1638370800,12/1/2021 15:00,BTT/USD,0.0032026,0.003214,0.0032026,0.003214,83646.02607,268.8383278
1638367200,12/1/2021 14:00,BTT/USD,0.0031898,0.0032063,0.0031859,0.0032026,324401.8227,1038.929277
1638363600,12/1/2021 13:00,BTT/USD,0.0031715,0.0031914,0.0031646,0.0031914,181019.9426,577.7070449
1638360000,12/1/2021 12:00,BTT/USD,0.0031674,0.0031831,0.0031674,0.0031728,141865.4345,450.1106507
1638356400,12/1/2021 11:00,BTT/USD,0.0031683,0.0031683,0.0031416,0.0031661,799428.7046,2531.071221
1638352800,12/1/2021 10:00,BTT/USD,0.0031946,0.0031964,0.0031656,0.0031697,202071.6356,640.5064635
1638349200,12/1/2021 9:00,BTT/USD,0.0031697,0.00319,0.0031695,0.00319,92931.11272,296.4502496
1638345600,12/1/2021 8:00,BTT/USD,0.0032065,0.0032065,0.0031698,0.0031698,201230.6677,637.8609705
1638342000,12/1/2021 7:00,BTT/USD,0.0031838,0.0032114,0.0031838,0.0032093,205712.5046,660.1931409
1638338400,12/1/2021 6:00,BTT/USD,0.0031941,0.0031941,0.00318,0.0031828,336679.5021,1071.583519
1638334800,12/1/2021 5:00,BTT/USD,0.0031961,0.0032098,0.0031949,0.0031949,162110.8057,517.927813
1638331200,12/1/2021 4:00,BTT/USD,0.0031915,0.0031924,0.0031915,0.0031924,14819.35377,47.30930499
1638327600,12/1/2021 3:00,BTT/USD,0.0031744,0.00319,0.0031744,0.0031876,82507.70114,263.0015482
1638324000,12/1/2021 2:00,BTT/USD,0.0031928,0.0031928,0.003171,0.003171,75664.06214,239.9307411
1638320400,12/1/2021 1:00,BTT/USD,0.0031949,0.0031949,0.0031949,0.0031949,4483.86033,14.32548537
1638316800,12/1/2021 0:00,BTT/USD,0.003171,0.003198,0.003171,0.003198,93519.78349,299.0762676
1638313200,11/30/2021 23:00,BTT/USD,0.0031864,0.0031864,0.0031725,0.0031725,62969.33159,199.7702045
1638306000,11/30/2021 21:00,BTT/USD,0.0031874,0.0031988,0.0031851,0.0031851,99076.84662,315.5696642
1638302400,11/30/2021 20:00,BTT/USD,0.0031852,0.0031864,0.0031827,0.0031864,71816.12265,228.8348932
1638298800,11/30/2021 19:00,BTT/USD,0.0031988,0.0031988,0.0031736,0.0031867,1500469.611,4781.546508
1638295200,11/30/2021 18:00,BTT/USD,0.0031891,0.0032146,0.0031788,0.0032017,457982.4437,1466.32239
1638291600,11/30/2021 17:00,BTT/USD,0.003187,0.0031954,0.003159,0.0031954,320986.1817,1025.679245
1638288000,11/30/2021 16:00,BTT/USD,0.0032129,0.0032129,0.0031736,0.0031866,1466953.416,4674.593754
1638284400,11/30/2021 15:00,BTT/USD,0.0032223,0.0032299,0.0032129,0.0032129,502696.5577,1615.11377
1638280800,11/30/2021 14:00,BTT/USD,0.0032112,0.0032256,0.0032099,0.0032241,167057.1169,538.6088505
1638277200,11/30/2021 13:00,BTT/USD,0.0032055,0.0032097,0.0032055,0.0032097,362136.3484,1162.349038
1638273600,11/30/2021 12:00,BTT/USD,0.0031925,0.0032294,0.0031925,0.0032079,661349.069,2121.541679
1638270000,11/30/2021 11:00,BTT/USD,0.0031662,0.0031921,0.0031572,0.0031921,240209.2942,766.7720879
1638266400,11/30/2021 10:00,BTT/USD,0.0031655,0.00317,0.003152,0.0031612,289360.0549,914.7250055
1638262800,11/30/2021 9:00,BTT/USD,0.0031553,0.0031719,0.0031479,0.0031668,171752.3475,543.9053341
